IMAGE_URI,LABEL,X_MIN_A,Y_MIN_A,X_MAX_B,Y_MIN_B,X_MAX_C,Y_MAX_C,X_MIN_D,Y_MAX_D
tuile_103_png.rf.dcde689c55d417a72a27a66f49554e09.jpg,element,0.05589999999999999,0.18855,0.24069999999999997,0.18855,0.24069999999999997,0.27425,0.05589999999999999,0.27425
tuile_103_png.rf.dcde689c55d417a72a27a66f49554e09.jpg,element,0.05380000000000001,0.29165,0.1364,0.29165,0.1364,0.5525500000000001,0.05380000000000001,0.5525500000000001
tuile_103_png.rf.dcde689c55d417a72a27a66f49554e09.jpg,element,0.055050000000000016,0.55355,0.13275,0.55355,0.13275,0.8264499999999999,0.055050000000000016,0.8264499999999999
tuile_103_png.rf.dcde689c55d417a72a27a66f49554e09.jpg,element,0.1548,0.5535500000000001,0.2464,0.5535500000000001,0.2464,0.82225,0.1548,0.82225
tuile_103_png.rf.dcde689c55d417a72a27a66f49554e09.jpg,element,0.1548,0.28964999999999996,0.2464,0.28964999999999996,0.2464,0.55355,0.1548,0.55355
tuile_103_png.rf.dcde689c55d417a72a27a66f49554e09.jpg,element,0.6011499999999999,0.18960000000000002,0.79365,0.18960000000000002,0.79365,0.28380000000000005,0.6011499999999999,0.28380000000000005
tuile_103_png.rf.dcde689c55d417a72a27a66f49554e09.jpg,element,0.6053499999999999,0.30294999999999994,0.6922499999999999,0.30294999999999994,0.6922499999999999,0.56645,0.6053499999999999,0.56645
tuile_103_png.rf.dcde689c55d417a72a27a66f49554e09.jpg,element,0.71485,0.29805000000000004,0.7965499999999999,0.29805000000000004,0.7965499999999999,0.56315,0.71485,0.56315
tuile_103_png.rf.dcde689c55d417a72a27a66f49554e09.jpg,element,0.6043,0.5679,0.6950999999999999,0.5679,0.6950999999999999,0.8275,0.6043,0.8275
tuile_103_png.rf.dcde689c55d417a72a27a66f49554e09.jpg,element,0.7133500000000002,0.56215,0.79905,0.56215,0.79905,0.82645,0.7133500000000002,0.82645
tuile_103_png.rf.dcde689c55d417a72a27a66f49554e09.jpg,element,0.6032500000000001,0.8454,0.79755,0.8454,0.79755,0.9362,0.6032500000000001,0.9362
tuile_103_png.rf.dcde689c55d417a72a27a66f49554e09.jpg,rayon,0.055950000000000014,0.18755,0.25025000000000003,0.18755,0.25025000000000003,1,0.055950000000000014,1
tuile_103_png.rf.dcde689c55d417a72a27a66f49554e09.jpg,rayon,0.6033000000000001,0.18964999999999999,0.7995,0.18964999999999999,0.7995,0.93715,0.6033000000000001,0.93715
tuile_103_png.rf.dcde689c55d417a72a27a66f49554e09.jpg,element,0.05380000000000001,0.8253999999999999,0.1364,0.8253999999999999,0.1364,1.0,0.05380000000000001,1.0
tuile_103_png.rf.dcde689c55d417a72a27a66f49554e09.jpg,element,0.15489999999999998,0.82435,0.2445,0.82435,0.2445,1,0.15489999999999998,1
tuile_110_png.rf.745cb01048517786542d30eb212fadca.jpg,rayon,0.0,0.4296,1.0,0.4296,1.0,0.6712,0.0,0.6712
tuile_110_png.rf.745cb01048517786542d30eb212fadca.jpg,rayon,0.0012000000000000899,0.7307,1.0,0.7307,1.0,0.9811,0.0012000000000000899,0.9811
tuile_110_png.rf.745cb01048517786542d30eb212fadca.jpg,element,0.010100000000000026,0.43485000000000007,0.3749,0.43485000000000007,0.3749,0.67695,0.010100000000000026,0.67695
tuile_110_png.rf.745cb01048517786542d30eb212fadca.jpg,element,0.37490000000000007,0.43589999999999995,0.9229,0.43589999999999995,0.9229,0.6693,0.37490000000000007,0.6693
tuile_110_png.rf.745cb01048517786542d30eb212fadca.jpg,element,0.9221999999999999,0.43495,1.0,0.43495,1.0,0.66965,0.9221999999999999,0.66965
tuile_110_png.rf.745cb01048517786542d30eb212fadca.jpg,element,0.9221999999999999,0.7317,1.0,0.7317,1.0,0.9859,0.9221999999999999,0.9859
tuile_110_png.rf.745cb01048517786542d30eb212fadca.jpg,element,0.37460000000000004,0.7323999999999999,0.9254,0.7323999999999999,0.9254,0.9863999999999999,0.37460000000000004,0.9863999999999999
tuile_110_png.rf.745cb01048517786542d30eb212fadca.jpg,element,4.999999999999449e-05,0.7317,0.37275,0.7317,0.37275,0.9811000000000001,4.999999999999449e-05,0.9811000000000001
tuile_114_png.rf.9dd1ca0303a858e82f0e7b2c6f16368e.jpg,element,0.27230000000000004,0.0,0.47170000000000006,0.0,0.47170000000000006,0.8412000000000001,0.27230000000000004,0.8412000000000001
tuile_114_png.rf.9dd1ca0303a858e82f0e7b2c6f16368e.jpg,element,0.47320000000000007,0.0,0.6654,0.0,0.6654,0.8464,0.47320000000000007,0.8464
tuile_114_png.rf.9dd1ca0303a858e82f0e7b2c6f16368e.jpg,element,0.27385000000000004,0.8432499999999999,0.66455,0.8432499999999999,0.66455,0.99995,0.27385000000000004,0.99995
tuile_114_png.rf.9dd1ca0303a858e82f0e7b2c6f16368e.jpg,rayon,0.2732,0,0.6654,0,0.6654,0.99905,0.2732,0.99905
tuile_121_png.rf.082ec0ae809d0287b869386762ec0416.jpg,rayon,0.053099999999999994,0.0,0.2485,0.0,0.2485,0.6654000000000001,0.053099999999999994,0.6654000000000001
tuile_121_png.rf.082ec0ae809d0287b869386762ec0416.jpg,element,0.05169999999999998,0,0.13729999999999998,0,0.13729999999999998,0.08385000000000001,0.05169999999999998,0.08385000000000001
tuile_121_png.rf.082ec0ae809d0287b869386762ec0416.jpg,element,0.05599999999999999,0.08115000000000003,0.13479999999999998,0.08115000000000003,0.13479999999999998,0.34404999999999997,0.05599999999999999,0.34404999999999997
tuile_121_png.rf.082ec0ae809d0287b869386762ec0416.jpg,element,0.05690000000000001,0.34435000000000004,0.1373,0.34435000000000004,0.1373,0.60045,0.05690000000000001,0.60045
tuile_121_png.rf.082ec0ae809d0287b869386762ec0416.jpg,element,0.05170000000000001,0.61805,0.2445,0.61805,0.2445,0.6673499999999999,0.05170000000000001,0.6673499999999999
tuile_121_png.rf.082ec0ae809d0287b869386762ec0416.jpg,element,0.1555,0.3469,0.2443,0.3469,0.2443,0.6085,0.1555,0.6085
tuile_121_png.rf.082ec0ae809d0287b869386762ec0416.jpg,element,0.15380000000000002,0.08580000000000002,0.24640000000000004,0.08580000000000002,0.24640000000000004,0.34440000000000004,0.15380000000000002,0.34440000000000004
tuile_121_png.rf.082ec0ae809d0287b869386762ec0416.jpg,element,0.15360000000000001,0.0,0.2464,0.0,0.2464,0.08539999999999999,0.15360000000000001,0.08539999999999999
tuile_136_png.rf.d7b797e3b6380611240c37d6e1ceb487.jpg,element,0.22955000000000003,0.12010000000000001,0.36405,0.12010000000000001,0.36405,0.37370000000000003,0.22955000000000003,0.37370000000000003
tuile_136_png.rf.d7b797e3b6380611240c37d6e1ceb487.jpg,element,0.366,0.12405,0.48960000000000004,0.12405,0.48960000000000004,0.38115,0.366,0.38115
tuile_136_png.rf.d7b797e3b6380611240c37d6e1ceb487.jpg,element,0.23064999999999997,0.4012,0.48374999999999996,0.4012,0.48374999999999996,0.4426,0.23064999999999997,0.4426
tuile_136_png.rf.d7b797e3b6380611240c37d6e1ceb487.jpg,element,0.84955,0.4001,0.9840500000000001,0.4001,0.9840500000000001,0.43489999999999995,0.84955,0.43489999999999995
tuile_136_png.rf.d7b797e3b6380611240c37d6e1ceb487.jpg,element,0.8411500000000001,0.12225000000000003,0.94005,0.12225000000000003,0.94005,0.37855,0.8411500000000001,0.37855
